"id"|"SPECIES"|"ADDRESS"|"SOURCE"
967|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,资源县,,延东乡                                                                                                                                                                                                                                  "|"brahms    "
968|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Guangxi,Xing'an Xian,,猫儿山龙塘江                                                                                                                                                                                                                      "|"brahms    "
969|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,龙胜各族自治县,,三门区                                                                                                                                                                                                                          "|"brahms    "
970|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,全州县,,龙水乡                                                                                                                                                                                                                                  "|"brahms    "
971|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,全州县,,龙水镇                                                                                                                                                                                                                                  "|"brahms    "
972|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Xing'an Xian,,华江镇                                                                                                                                                                                                                            "|"brahms    "
973|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"国外,,,,Greenbrier County                                                                                                                                                                                                                                     "|"brahms    "
974|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"China,Hunan,,,产子坪                                                                                                                                                                                                                                          "|"brahms    "
975|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,都江堰市,,龙溪                                                                                                                                                                                                                                  "|"brahms    "
976|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,安徽,岳西县,,                                                                                                                                                                                                                                           "|"brahms    "
977|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Chongqing,Nanchuan Xian,,三泉                                                                                                                                                                                                                           "|"brahms    "
978|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Heilongjiang,Tongjiang Xian,,四川省通江县五台山猕猴自然保护区                                                                                                                                                                                           "|"brahms    "
979|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,平果县,,邰禄乡六隆村                                                                                                                                                                                                                            "|"brahms    "
980|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,Lo-mong                                                                                                                                                                                                                                       "|"brahms    "
981|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,连平县,,上坪公社中疗坑                                                                                                                                                                                                                        "|"brahms    "
982|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,全县,,山川，磨子田                                                                                                                                                                                                                              "|"brahms    "
983|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,怀集县,,石柴冲柄坑                                                                                                                                                                                                                            "|"brahms    "
984|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,Lo-hsiang                                                                                                                                                                                                                                     "|"brahms    "
985|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,,,Ku-chun                                                                                                                                                                                                                                       "|"brahms    "
986|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,凌云县,,玉洪乡老山                                                                                                                                                                                                                              "|"brahms    "
987|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,洛阳乡茶洞                                                                                                                                                                                                                       "|"brahms    "
988|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,封开县,,黑石顶                                                                                                                                                                                                                                "|"brahms    "
989|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Sichuan,Tianquan Xian,,伐木场银厂坪                                                                                                                                                                                                                     "|"brahms    "
990|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,Ruyuan Xian,,西山乡柘洞附近                                                                                                                                                                                                                   "|"brahms    "
991|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangdong,龙门县,,第四区南菎山上坪                                                                                                                                                                                                                      "|"brahms    "
992|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Hunan,,,                                                                                                                                                                                                                                                "|"brahms    "
993|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"USA,,,,                                                                                                                                                                                                                                                       "|"brahms    "
994|"Cryptotaenia canadensis auct.non(L.) DC.                                                                                                                                                                                                                      "|"USA,,,,Va.Chesterfield Co:Pocahontas                                                                                                                                                                                                                          "|"brahms    "
995|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Longsheng Xian,,六区大地乡红毛涌                                                                                                                                                                                                                "|"brahms    "
996|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,Longsheng Xian,,平水乡大滩                                                                                                                                                                                                                      "|"brahms    "
997|"Cryptotaenia japonica Hassk.                                                                                                                                                                                                                                  "|"China,Guangxi,大苖山县,,九万大山罗垌乡横岗路上                                                                                                                                                                                                                "|"brahms    "
